id,created_at,updated_at,deleted_at,name,vehicle_make_id,vehicle_type_id,code,vehicle_utility_id
568,2025-06-26 18:57:25,2025-07-03 12:28:05,,PATRIOT,19,2,234,
571,2025-06-26 18:57:25,2025-07-03 12:28:05,,COMMANDER,19,2,522,
574,2025-07-03 12:28:05,2025-07-03 12:28:05,,CARNIVAL,20,1,244,
575,2025-07-03 12:28:05,2025-07-03 12:28:05,,SEDONA,20,1,254,
577,2025-07-03 12:28:05,2025-07-03 12:28:05,,SORENTO,20,1,255,
578,2025-07-03 12:28:05,2025-07-03 12:28:05,,SPORTAGE,20,1,258,
579,2025-07-03 12:28:05,2025-07-03 12:28:05,,PREGIO,20,1,251,
580,2025-07-03 12:28:05,2025-07-03 12:28:05,,CADENZA,20,1,242,
581,2025-07-03 12:28:05,2025-07-03 12:28:05,,K2700,20,1,626,
582,2025-07-03 12:28:05,2025-07-03 12:28:05,,SOUL,20,1,721,
583,2025-07-03 12:28:05,2025-07-03 12:28:05,,CERATO,20,1,245,
584,2025-07-03 12:28:05,2025-07-03 12:28:05,,SPECTRA,20,1,257,
585,2025-07-03 12:28:05,2025-07-03 12:28:05,,LOTZE,20,1,248,
586,2025-07-03 12:28:05,2025-07-03 12:28:05,,K-7 AMERICANO,20,1,567,
587,2025-07-03 12:28:05,2025-07-03 12:28:05,,RIO,20,1,252,
589,2025-07-03 12:28:05,2025-07-03 12:28:05,,OPTIMA,20,1,249,
590,2025-07-03 12:28:05,2025-07-03 12:28:05,,K5,20,1,659,
591,2025-07-03 12:28:05,2025-07-03 12:28:05,,FORTE,20,1,577,
592,2025-07-03 12:28:05,2025-07-03 12:28:05,,CARENS,20,1,243,
593,2025-07-03 12:28:05,2025-07-03 12:28:05,,PICANTO,20,1,250,
594,2025-07-03 12:28:05,2025-07-03 12:28:05,,RONDO,20,1,253,
595,2025-07-03 12:28:05,2025-07-03 12:28:05,,BONGO,20,1,241,
597,2025-07-03 12:28:05,2025-07-03 12:28:05,,MORNING,20,1,573,
613,2025-06-26 18:57:25,2025-07-03 12:28:05,,RANGE ROVER,21,2,259,
615,2025-06-26 18:57:25,2025-07-03 12:28:05,,DISCOVERY,21,2,689,
624,2025-06-26 18:57:25,2025-07-03 12:28:05,,LX 570,22,2,650,
627,2025-06-26 18:57:25,2025-07-03 12:28:05,,RX 350,22,2,651,
